Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6201877,De veghe în lanul de secară,J.D. Salinger,"Salinger, J.D.","Catinca Ralea, Lucian Bratu","=""9736838803""","=""9789736838804""",5.0,Polirom,Paperback,264,2001,1951,2017/02/10,2017/02/10,,,read,,,,2,0
18266,Gargantua and Pantagruel,François Rabelais,"Rabelais, François",M.A. Screech,"=""0140445501""","=""9780140445503""",4.0,Penguin Classics,Paperback,1041,2006,1532,,2017/02/10,,,read,,,,1,0
3972321,Spuma zilelor,Boris Vian,"Vian, Boris",Sorin Mărculescu,"=""9735010453""","=""""",5.0,Humanitas,Paperback,176,2005,1947,,2017/02/10,,,read,,,,1,0
7140960,Zei americani,Neil Gaiman,"Gaiman, Neil",Liviu Radu,"=""9737330706""","=""9789737330703""",5.0,Tritonic,Paperback,640,2006,2001,2017/02/05,2017/02/07,,,read,"At first, I didn't know what to think of it, I felt like reading an adult version of Percy Jackson, but I discovered some details that left strange ideas and questions. From my point of view, this book is not about gods and magic, it's about people who forgot who they truly are and where they come from.<br/>It is an amazing novel and I recommend it to anyone who wants to travel, dream, hope and , not last, remember the gods.",,,1,0
9144393,Narcis și Gură-de-Aur,Hermann Hesse,"Hesse, Hermann",,"=""9735760096""","=""""",3.0,RAO,Paperback,315,1995,1930,2017/01/24,2017/01/26,,,read,,,,1,0
2256422,Craii de Curtea-Veche,Mateiu I. Caragiale,"Caragiale, Mateiu I.",,"=""9975743625""","=""""",4.0,Litera,Paperback,280,2004,1929,2017/01/11,2017/01/26,,,read,,,,1,0
29343482,Banchetul sau Despre iubire,Plato,"Plato, Plato",Petru Creţia,"=""9735031639""","=""9789735031633""",5.0,Humanitas,Mass Market Paperback,188,2011,-380,2017/01/03,2017/01/26,,,read,,,,1,0
4318,Monsieur Ibrahim and the Flowers of the Qur'an,Éric-Emmanuel Schmitt,"Schmitt, Éric-Emmanuel","Patricia Benecke, Patrick Driver","=""0413775909""","=""9780413775900""",5.0,Methuen Drama,Hardcover,42,2006,2001,2017/01/26,2017/01/26,,,read,,,,1,0
25276912,Studii despre iubire,José Ortega y Gasset,"Gasset, José Ortega y",,"=""9735036312""","=""9789735036317""",5.0,Humanitas,Paperback,249,2012,1940,2017/01/05,2017/01/25,,,read,,,,1,0
7190,The Three Musketeers,Alexandre Dumas,"Dumas, Alexandre","Richard Pevear, Philip Bates, William Barrow, August Zoller, Marisa Zini, Moshe Ukkle, Pierre Toutain-Dorbec, John      Lee, Jacques Georges Clemenc Le Clercq, Natalie Montoto, S.M. Sheley, Daniel Rasmusson, Louis Jourdan, Walter Covell, Michael  Page, Michael Hugh Johnson, Sylvie Thorel-Cailleteau, Milo Winter, Bill Homewood, Arthur Paul John Charles James Gore Sudley, S.N. Rizvi, Giorgio Manganelli, William Robson, Isabel Ely Lord","=""""","=""""",4.0,Modern Library,Paperback,625,2001,1844,,2017/01/26,,,read,,,,1,0
27562700,Mințile lui Billy Milligan,Daniel Keyes,"Keyes, Daniel",Iulia Arsintescu,"=""""","=""9786069396223""",5.0,Editura Arthur,Hardcover,584,2015,1981,,2017/01/25,,,read,,,,1,0
17229411,Monștri: Un bestiar al bizarului,Christopher Dell,"Dell, Christopher",,"=""9731245065""","=""9789731245065""",0,Editura Art,Hardcover,192,2010,2010,2017/01/25,2017/01/25,,,read,,,,1,0
25041504,"After You (Me Before You, #2)",Jojo Moyes,"Moyes, Jojo",,"=""""","=""""",5.0,Pamela Dorman Books,ebook,353,2015,2015,,2017/01/25,,,read,,,,1,0
4588,Extremely Loud & Incredibly Close,Jonathan Safran Foer,"Foer, Jonathan Safran",,"=""0618711651""","=""9780618711659""",5.0,Mariner Books Classics,Paperback,326,2006,2005,,2017/01/25,,,read,,,,1,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""159463193X""","=""9781594631931""",5.0,Riverhead Books,Paperback,371,2004,2003,,2017/01/25,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",5.0,Scholastic Inc,Hardcover,309,2003,1997,,2017/01/25,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",3.0,Scholastic Press,Hardcover,374,2008,2008,,2017/01/25,,,read,,,,1,0
2932,Robinson Crusoe,Daniel Defoe,"Defoe, Daniel",Virginia Woolf,"=""""","=""""",2.0,Modern Library,Hardcover,320,2001,1719,,2017/01/25,,,read,,,,1,0
7733,Gulliver’s Travels,Jonathan Swift,"Swift, Jonathan",,"=""0141439491""","=""9780141439495""",4.0,Penguin,Paperback,306,2017,1726,,2017/01/25,,,read,,,,1,0
18254,Oliver Twist,Charles Dickens,"Dickens, Charles",Philip Horne,"=""""","=""""",5.0,Penguin Books,Paperback,608,2003,1838,,2017/01/25,,,read,,,,1,0
13023,Alice in Wonderland,Jane Carruth,"Carruth, Jane","Lewis Carroll, Rene Cloke","=""0517223627""","=""9780517223628""",5.0,Gramercy,Hardcover,96,2004,1865,,2017/01/25,,,read,,,,1,0
32552,The Essential Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,"Poe, Edgar Allan",Benjamin Franklin Fisher,"=""1593080646""","=""9781593080648""",0,Barnes & Noble Classics,Paperback,688,2004,1843,,2017/01/25,to-read,to-read (#3),to-read,,,,0,0
41684,The Jungle Books,Rudyard Kipling,"Kipling, Rudyard",Alev Lytle Croutier,"=""0451529758""","=""9780451529756""",5.0,Signet Classics,Mass Market Paperback,368,2005,1895,,2017/01/25,,,read,,,,1,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee","=""""","=""9780143039563""",3.0,Penguin Classics,Paperback,244,2006,1876,,2017/01/25,,,read,,,,1,0
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Norman MacAfee, Charles E. Wilbour, Lee Fahnestock, Isabel Florence Hapgood","=""0451525264""","=""9780451525260""",0,Signet Classics,Mass Market Paperback,1488,1987,1862,,2017/01/25,to-read,to-read (#2),to-read,,,,0,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",5.0,Bantam Classics,Mass Market Paperback,201,1972,1915,,2017/01/25,,,read,,,,1,0
1081560,"The History of the Hobbit, Part One: Mr. Baggins",John D. Rateliff,"Rateliff, John D.",J.R.R. Tolkien,"=""0618968474""","=""9780618968473""",0,Houghton Mifflin Harcourt,Hardcover,467,2007,2007,,2017/01/25,to-read,to-read (#1),to-read,,,,0,0
74256,Le Petit Nicolas,René Goscinny,"Goscinny, René",Jean-Jacques Sempé,"=""2070364232""","=""9782070364237""",3.0,Folio,Mass Market Paperback,167,1988,1959,,2017/01/25,,,read,,,,1,0
67270,Emil and the Detectives,Erich Kästner,"Kästner, Erich",Walter Trier,"=""0099413124""","=""9780099413127""",2.0,,Paperback,224,1974,1929,,2017/01/25,,,read,,,,1,0
79121,The Happy Prince,Oscar Wilde,"Wilde, Oscar",Jane Ray,"=""0525453679""","=""9780525453673""",4.0,Dutton Juvenile,Hardcover,32,1995,1888,,2017/01/25,,,read,,,,1,0
120461,Oscar et la dame rose,Éric-Emmanuel Schmitt,"Schmitt, Éric-Emmanuel",,"=""2226135022""","=""9782226135025""",5.0,ALBIN MICHEL,Paperback,100,2002,2002,,2017/01/25,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""0152023984""","=""9780152023980""",5.0,"Harcourt, Inc.",Hardcover,96,2000,1943,,2017/01/25,,,read,,,,1,0
