Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
219823412,Behind the Painting,Siburapha,"Siburapha, Siburapha",David Smyth,"=""0241694469""","=""9780241694466""",4.0,Penguin Classics,Paperback,128,2024,1936,2025/11/03,2025/11/03,,,read,,,,1,0
27543,Artificial Intelligence: A Modern Approach,Stuart Russell,"Russell, Stuart",Peter Norvig,"=""0137903952""","=""9780137903955""",0,Prentice Hall,Hardcover,1080,2003,1994,,2025/10/08,"to-read, textbooks","to-read (#313), textbooks (#9)",to-read,,,,0,0
58064710,Probabilistic Machine Learning: An Introduction (Adaptive Computation and Machine Learning series),Kevin P. Murphy,"Murphy, Kevin P.",,"=""0262046822""","=""9780262046824""",0,The MIT Press,Hardcover,864,2022,,,2025/10/07,"to-read, textbooks","to-read (#311), textbooks (#7)",to-read,,,,0,0
1933732,Fundamentals of Computer Graphics,Peter   Shirley,"Shirley, Peter",,"=""1568811241""","=""9781568811246""",0,A K Peters/CRC Press,Hardcover,392,2002,2002,,2025/10/07,"to-read, textbooks","to-read (#310), textbooks (#6)",to-read,,,,0,0
2355640,Computer Animation: Algorithms and Techniques (The Morgan Kaufmann Series in Computer Graphics),Rick Parent,"Parent, Rick",,"=""0125320000""","=""9780125320009""",0,Morgan Kaufmann,Hardcover,594,2007,2001,,2025/10/07,"to-read, textbooks","to-read (#309), textbooks (#5)",to-read,,,,0,0
148009,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",Trevor Hastie,"Hastie, Trevor","Robert Tibshirani, Jerome Friedman","=""0387952845""","=""9780387952840""",0,Springer,Hardcover,552,2003,2001,,2025/10/07,"to-read, textbooks","to-read (#308), textbooks (#4)",to-read,,,,0,0
15857489,Machine Learning: A Probabilistic Perspective,Kevin P. Murphy,"Murphy, Kevin P.",,"=""0262018020""","=""9780262018029""",0,The MIT Press,Hardcover,1104,2012,,,2025/10/07,"to-read, textbooks","to-read (#307), textbooks (#3)",to-read,,,,0,0
55881,Pattern Recognition and Machine Learning (Information Science and Statistics),Christopher M. Bishop,"Bishop, Christopher M.",,"=""0387310738""","=""9780387310732""",0,Springer,Hardcover,738,2006,,,2025/10/07,"textbooks, to-read","textbooks (#2), to-read (#306)",to-read,,,,0,0
24072897,Deep Learning,Ian Goodfellow,"Goodfellow, Ian","Yoshua Bengio, Aaron Courville","=""""","=""""",0,The MIT Press,ebook,787,2016,2016,,2024/02/02,"to-read, textbooks","to-read (#151), textbooks (#1)",to-read,,,,0,0
56041871,Brickmakers,Selva Almada,"Almada, Selva",Annie McDermott,"=""1913867064""","=""9781913867065""",0,Charco Press,Paperback,197,2021,2013,,2025/10/04,to-read,to-read (#305),to-read,,,,0,0
227945775,The Adventures of China Iron,Gabriela Cabezón Cámara,"Cámara, Gabriela Cabezón","Iona Macintyre, Fiona Macintosh","=""1999368428""","=""9781999368425""",5.0,Charco Press,Kindle Edition,120,2019,2017,2025/10/04,2025/10/02,,,read,Really enjoyed this book - especially the evocative descriptions of Argentine nature that permeates the storytelling. Not familiar with the original Martín Fierro so I imagine I missed out on a fair amount of symbolism but I enjoyed it nonetheless.,,,1,0
61326124,The Lost Rainforests of Britain,Guy Shrubsole,"Shrubsole, Guy",,"=""0008527954""","=""9780008527952""",0,William Collins,Hardcover,326,2022,2022,,2025/10/02,to-read,to-read (#304),to-read,,,,0,0
123557124,The Most Secret Memory of Men,Mohamed Mbougar Sarr,"Sarr, Mohamed Mbougar",Lara Vergnaud,"=""1668005689""","=""9781668005682""",0,Scribner Canada,Paperback,496,2023,2021,,2025/09/30,to-read,to-read (#303),to-read,,,,0,0
214986269,Hunchback,Saou Ichikawa,"Ichikawa, Saou",Polly Barton,"=""0593734718""","=""9780593734711""",0,Hogarth,Hardcover,112,2025,2023,,2025/09/29,to-read,to-read (#302),to-read,,,,0,0
217059399,Dead-End Memories,Banana Yoshimoto,"Yoshimoto, Banana",,"=""0571382339""","=""9780571382330""",5.0,Faber & Faber,Paperback,224,2024,2003,2025/09/29,2025/04/26,,,read,Short stories that turn the difficult times in life into small comforts ,,,1,0
1608281,The Symbiotic Planet : A New Look at Evolution,Lynn Margulis,"Margulis, Lynn",,"=""0753807858""","=""9780753807859""",0,Phoenix Paperbacks,Paperback,176,1999,1998,,2025/09/26,to-read,to-read (#301),to-read,,,,0,0
38242135,"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,"Lee, Kai-Fu",,"=""132854639X""","=""9781328546395""",0,Harper Business,Hardcover,255,2018,2018,,2025/09/26,to-read,to-read (#300),to-read,,,,0,0
199798154,Mastering AI: A Survival Guide to Our Superpowered Future,Jeremy Kahn,"Kahn, Jeremy",,"=""1668053322""","=""9781668053324""",0,Simon & Schuster,Hardcover,336,2024,2024,,2025/09/26,to-read,to-read (#299),to-read,,,,0,0
197525309,What the Wild Sea Can Be: The Future of the World’s Ocean,Helen Scales,"Scales, Helen",,"=""0802162991""","=""9780802162991""",0,Atlantic Monthly Press,Hardcover,320,2024,2024,,2025/09/26,to-read,to-read (#298),to-read,,,,0,0
13067966,The Animal Kingdom: A Very Short Introduction,Peter      Holland,"Holland, Peter",,"=""0199593213""","=""9780199593217""",0,Oxford University Press,Paperback,144,2012,2011,,2025/09/24,to-read,to-read (#297),to-read,,,,0,0
2723,The Years of Rice and Salt,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0553580078""","=""9780553580075""",0,Bantam Books,Mass Market Paperback,763,2003,2002,,2025/09/24,to-read,to-read (#296),to-read,,,,0,0
